delta_suit,delta_lgp,delta_fc2,mean_precip
0.0,14.5,0.0,113.48962490484118
0.0,9.4,0.0,116.12924991496838
0.550000011920929,58.55,0.3953883022069931,189.25837518689224
0.10000000149011612,39.65,0.05,190.77787501744461
0.0,28.75,0.049567750096321105,176.45512527429963
0.0,27.1,0.0,159.61462533108426
0.0,20.1,0.0,160.6012500627199
0.0,22.75,0.04977432191371918,162.866624949174
0.0,19.35,0.0,165.15937509867362
0.0,16.5,0.0,119.72249986194075
0.0,13.5,0.0,123.72749979700893
0.0,15.2,0.0,127.10775006529875
0.0,13.5,0.0,130.18537491867318
0.0,16.0,0.0,133.11300005095546
0.0,20.1,0.0,133.68262489796615
0.0,20.65,0.0,134.4067498852033
0.0,21.45,0.0,137.90287505555898
0.0,24.2,0.0,142.4433749722084
0.0,35.0,0.0,154.74750018666964
0.0,34.85,0.0,179.91712511426303
0.0,37.55,0.048966622352600096,206.39962523912544
0.0,46.05,0.14793232679367066,221.980124998861
0.10000000149011612,52.0,0.2985945701599121,234.8418750019977
0.10000000149011612,48.9,0.2990872859954834,237.9086247008294
0.0,45.6,0.148715803027153,210.16837500757538
0.0,6.5,0.0,183.3011249331292
0.0,22.05,0.0,174.95737492518964
0.0,23.4,0.0,175.8858751614345
0.0,24.75,0.0,180.11849993723445
0.0,17.5,0.0,184.36837500017137
0.0,20.85,0.04921517074108124,182.5132501723245
0.0,12.2,0.0,178.7861249751877
0.0,27.25,0.14800680577754974,174.4001246894477
0.0,23.55,0.1484251618385315,169.13849997082724
0.0,22.25,0.0992109626531601,164.43412488007453
0.0,23.8,0.0,129.6198751160642
0.0,20.75,0.0,142.74450010168366
0.0,2.1,0.0,144.054000023962
0.0,11.35,0.0,145.5135000925511
0.0,6.65,0.0,144.60975000243633
0.0,10.55,0.0,143.21587475729174
0.0,3.8,0.0,142.5502502047224
0.0,6.15,0.0,143.11237531788646
0.0,20.8,0.0,143.409374985029
0.0,18.2,0.0,146.59874982840847
0.0,12.9,0.0,151.91737495062407
0.0,13.4,0.0,164.8170003558742
0.0,11.45,0.0,200.89837524991017
0.0,2.15,0.0,237.195374973258
0.0,3.65,0.0,261.46987518735693
0.0,12.1,0.0,282.55612518237905
0.0,27.95,0.0,287.01562464390884
0.0,41.55,0.0,243.53325009744148
0.0,41.6,0.09944828748703002,202.62637514888775
0.0,35.15,0.09955703020095825,190.5221248889342
0.0,23.95,0.0,188.78324982034974
0.0,2.6,0.0,189.71587459137663
0.0,8.6,0.0,196.395749959955
0.0,3.1,0.0,203.23087508808823
0.0,16.7,0.0,202.0556251448579
0.0,25.05,0.0,198.42637487268075
0.0,27.55,0.24735199511051179,193.81312465916852
0.0,19.1,0.0,188.80387485064566
0.0,5.3,0.0,183.53437484705356
0.0,29.9,0.0,192.46649996286723
0.0,36.55,0.09929943680763245,192.81825027621818
0.0,10.45,0.0,75.2190001006471
0.0,10.9,0.0,79.57800019045825
0.0,13.1,0.0,84.24337511830963
0.0,14.45,0.0,89.59500006726012
0.0,15.35,0.0,95.38575001414866
0.0,15.45,0.0,102.10649991342798
0.0,18.35,0.0,109.47562508492265
0.0,25.25,0.0,129.5077498946106
0.0,33.5,0.0,154.42687525234652
0.0,49.85,0.14945028424263002,172.7118746676948
0.0,38.05,0.09915549159049988,171.8186249686405
0.0,34.7,0.09967208206653595,170.76600010399707
0.0,32.1,0.0,163.9413747767685
